,,4 x 4 x 5 = 80 x 3 rep = 240,,,,,
,,BR2121,,,,,
,,"M(1), A(2), B(3), C(4)",,"0(1),10(2), 20(3), 40(4)",,"0(1), 50(2), 110(3), 150(4), 190(5)",
,,rotação 1,,inseto,,tempo,r
REP 3,B,3,20,3,0,1,0
REP 1,B,3,40,4,0,1,0
REP 2,B,3,40,4,0,1,0
REP 3,B,3,40,4,0,1,0
REP 1,B,3,0,1,50,2,#VALUE!
REP 2,B,3,0,1,50,2,#VALUE!
REP 3,B,3,0,1,50,2,#VALUE!
REP 1,B,3,10,2,50,2,"0,00000"
REP 2,B,3,10,2,50,2,"0,00000"
REP 3,B,3,10,2,50,2,"0,00000"
REP 1,B,3,20,3,50,2,"0,00000"
REP 2,B,3,20,3,50,2,"0,00000"
REP 3,B,3,20,3,50,2,"0,00000"
REP 1,B,3,40,4,50,2,"0,00000"
REP 2,B,3,40,4,50,2,"0,00000"
REP 3,B,3,40,4,50,2,"0,00000"
REP 1,B,3,0,1,110,3,#VALUE!
REP 2,B,3,0,1,110,3,#VALUE!
REP 3,B,3,0,1,110,3,#VALUE!
REP 1,B,3,10,2,110,3,"0,00306"
REP 2,B,3,10,2,110,3,"0,00482"
REP 3,B,3,10,2,110,3,"0,00427"
REP 1,B,3,20,3,110,3,"0,00482"
REP 2,B,3,20,3,110,3,"-0,00047"
REP 3,B,3,20,3,110,3,"0,00000"
REP 1,B,3,40,4,110,3,"0,00000"
REP 2,B,3,40,4,110,3,"-0,00096"
REP 3,B,3,40,4,110,3,"-0,00023"
REP 1,B,3,0,1,150,4,#VALUE!
REP 2,B,3,0,1,150,4,#VALUE!
REP 3,B,3,0,1,150,4,#VALUE!
REP 1,B,3,10,2,150,4,"0,00175"
REP 2,B,3,10,2,150,4,"0,00584"
REP 3,B,3,10,2,150,4,"0,00313"
REP 1,B,3,20,3,150,4,"0,00334"
REP 2,B,3,20,3,150,4,"0,00093"
REP 3,B,3,20,3,150,4,"-0,00341"
REP 1,B,3,40,4,150,4,"-0,00128"
REP 2,B,3,40,4,150,4,"-0,00238"
REP 3,B,3,40,4,150,4,"-0,00070"
REP 1,B,3,0,1,190,5,#VALUE!
REP 2,B,3,0,1,190,5,#VALUE!
REP 3,B,3,0,1,190,5,#VALUE!
REP 1,B,3,10,2,190,5,"0,00050"
REP 2,B,3,10,2,190,5,"0,00438"
REP 3,B,3,10,2,190,5,"0,00279"
REP 1,B,3,20,3,190,5,"0,00247"
REP 2,B,3,20,3,190,5,"-0,00151"
REP 3,B,3,20,3,190,5,"-0,00227"
REP 1,B,3,40,4,190,5,"-0,00315"
REP 2,B,3,40,4,190,5,"-0,00339"
REP 3,B,3,40,4,190,5,"-0,00365"
BR3123,,,,,,,
REP 1,C,4,0,1,0,1,0
REP 2,C,4,0,1,0,1,0
REP 3,C,4,0,1,0,1,0
REP 1,C,4,10,2,0,1,0
REP 2,C,4,10,2,0,1,0
REP 3,C,4,10,2,0,1,0
REP 1,C,4,20,3,0,1,0
REP 2,C,4,20,3,0,1,0
REP 3,C,4,20,3,0,1,0
REP 1,C,4,40,4,0,1,0
REP 2,C,4,40,4,0,1,0
REP 3,C,4,40,4,0,1,0
REP 1,C,4,0,1,50,2,#VALUE!
REP 2,C,4,0,1,50,2,#VALUE!
REP 3,C,4,0,1,50,2,#VALUE!
REP 1,C,4,10,2,50,2,"0,00000"
REP 2,C,4,10,2,50,2,"0,00000"
REP 3,C,4,10,2,50,2,"0,00000"
REP 1,C,4,20,3,50,2,"0,00000"
REP 2,C,4,20,3,50,2,"0,00000"
REP 3,C,4,20,3,50,2,"-0,00103"
REP 1,C,4,40,4,50,2,"0,00000"
REP 2,C,4,40,4,50,2,"-0,00051"
REP 3,C,4,40,4,50,2,"0,00000"
REP 1,C,4,0,1,110,3,#VALUE!
REP 2,C,4,0,1,110,3,#VALUE!
REP 3,C,4,0,1,110,3,#VALUE!
REP 1,C,4,10,2,110,3,"0,00757"
REP 2,C,4,10,2,110,3,"0,00369"
REP 3,C,4,10,2,110,3,"0,00903"
REP 1,C,4,20,3,110,3,"0,00398"
REP 2,C,4,20,3,110,3,"0,00127"
REP 3,C,4,20,3,110,3,"0,00607"
REP 1,C,4,40,4,110,3,"0,00127"
REP 2,C,4,40,4,110,3,"-0,00121"
REP 3,C,4,40,4,110,3,"0,00184"
REP 1,C,4,0,1,150,4,#VALUE!
REP 2,C,4,0,1,150,4,#VALUE!
REP 3,C,4,0,1,150,4,#VALUE!
REP 1,C,4,10,2,150,4,"0,00122"
REP 2,C,4,10,2,150,4,"0,00122"
REP 3,C,4,10,2,150,4,"0,00754"
REP 1,C,4,20,3,150,4,"0,00224"
REP 2,C,4,20,3,150,4,"-0,00034"
REP 3,C,4,20,3,150,4,"0,00445"
REP 1,C,4,40,4,150,4,"-0,00017"
REP 2,C,4,40,4,150,4,"-0,00214"
REP 3,C,4,40,4,150,4,"0,00093"
REP 1,C,4,0,1,190,5,#VALUE!
REP 2,C,4,0,1,190,5,#VALUE!
REP 3,C,4,0,1,190,5,#VALUE!
REP 1,C,4,10,2,190,5,"0,00050"
REP 2,C,4,10,2,190,5,"-0,00269"
REP 3,C,4,10,2,190,5,"0,00503"
REP 1,C,4,20,3,190,5,"0,00158"
REP 2,C,4,20,3,190,5,"-0,00086"
REP 3,C,4,20,3,190,5,"0,00196"
REP 1,C,4,40,4,190,5,"-0,00392"
REP 2,C,4,40,4,190,5,"-0,00516"
REP 3,C,4,40,4,190,5,"-0,00269"
